Classificador,Acurácia,F1 macro,Precisão macro,Revocação macro,F1 micro,Precisão micro,Revocação micro
Rocchio classifier,"0.721","0.584","0.6306","0.7813","0.721","0.721","0.721"
Gradient Boosting Classifier,"0.954","0.9248","0.9053","0.9504","0.954","0.954","0.954"
Naive Bayes,"0.846","0.5673","0.5721","0.5696","0.846","0.846","0.846"
K-nearest Neighbor,"0.806","0.5648","0.7378","0.552","0.806","0.806","0.806"
Support Vector Machine (SVM),"0.961","0.9157","0.9237","0.9083","0.961","0.961","0.961"
Decision Tree,"0.951","0.9168","0.8936","0.9484","0.951","0.951","0.951"
Random Forest,"0.96","0.9179","0.9137","0.9231","0.96","0.96","0.96"
