Classificador,Acurácia,F1 macro,Precisão macro,Revocação macro,F1 micro,Precisão micro,Revocação micro
Rocchio classifier,"0,8233","0,6168","0,6255","0,7723","0,8233","0,8233","0,8233"
Gradient Boosting Classifier,"0,9833","0,9073","0,8596","0,9884","0,9833","0,9833","0,9833"
Naive Bayes,"0,7867","0,5156","0,5591","0,5157","0,7867","0,7867","0,7867"
K-nearest Neighbor,"0,7467","0,4833","0,5365","0,4866","0,7467","0,7467","0,7467"
Support Vector Machine (SVM),"0,94","0,6297","0,6278","0,6319","0,94","0,94","0,94"
Decision Tree,"0,95","0,7482","0,7496","0,7471","0,95","0,95","0,95"
Random Forest,"0,9467","0,6343","0,6308","0,6379","0,9467","0,9467","0,9467"
